"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.83727375195328e-16,30,90,6.98611111111111,"Biosynthesis of amino acids","","ilvE ilvD ilvG leuC argD metC leuB aspC metB hisC serC ilvI aroC dapA aroE trpE trpD argH serB pepN serA thrC cysE ilvC dapD proA hisG hisD hisB hisA"
2.64624408314897e-16,34,126,5.65542328042328,"Cellular amino acid metabolic process","https://amigo.geneontology.org/amigo/term/GO:0006520","ilvE ilvD ilvG leuC aroF argD metC leuB aspC metB hisC serC ilvI aroC dapA APL_1125 aroE trpE trpD argH serB serA thrC cysE poxA glmS ilvC dapD dapE proA hisG hisD hisB hisA"
1.41181188312611e-15,28,85,6.90392156862745,"Cellular amino acid biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0008652","ilvE ilvD ilvG leuC aroF argD leuB hisC serC ilvI aroC dapA aroE trpE trpD argH serB serA thrC cysE ilvC dapD dapE proA hisG hisD hisB hisA"
7.49597287494359e-15,31,115,5.64963768115942,"Organic acid biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0016053","ilvE ilvD ilvG leuC aroF argD leuB hisC serC ilvI aroC dapA bioD2 aroE trpE trpD argH serB serA thrC cysE lipA ilvC dapD dapE proA fabG hisG hisD hisB hisA"
7.49597287494359e-15,31,115,5.64963768115942,"Carboxylic acid biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0046394","ilvE ilvD ilvG leuC aroF argD leuB hisC serC ilvI aroC dapA bioD2 aroE trpE trpD argH serB serA thrC cysE lipA ilvC dapD dapE proA fabG hisG hisD hisB hisA"
1.37224785393084e-14,39,195,4.19166666666667,"Carboxylic acid metabolic process","https://amigo.geneontology.org/amigo/term/GO:0019752","ilvE ilvD ilvG leuC aroF argD metC leuB ykgF aspC metB hisC serC ilvI aroC dapA bioD2 APL_1125 aroE trpE trpD argH serB serA thrC cysE poxA lipA glmS nanA ilvC dapD dapE proA fabG hisG hisD hisB hisA"
1.88568844485442e-14,39,198,4.12815656565657,"Oxoacid metabolic process","https://amigo.geneontology.org/amigo/term/GO:0043436","ilvE ilvD ilvG leuC aroF argD metC leuB ykgF aspC metB hisC serC ilvI aroC dapA bioD2 APL_1125 aroE trpE trpD argH serB serA thrC cysE poxA lipA glmS nanA ilvC dapD dapE proA fabG hisG hisD hisB hisA"
2.28401819376184e-14,24,67,7.50746268656716,"Amino-acid biosynthesis","https://www.uniprot.org/keywords/KW-0028","ilvE ilvD ilvG leuC aroF argD leuB hisC serC ilvI aroC dapA aroE trpE trpD argH ilvC dapD dapE proA hisG hisD hisB hisA"
2.47078947556485e-14,35,159,4.61346960167715,"Biosynthesis of amino acids, and Pyruvate metabolism","","ilvE ilvD ilvG leuC argD metC leuB ykgF sucC aspC metB hisC serC ilvI aroC dapA aroE trpE trpD argH serB pepN APL_1422 serA thrC cysE lipA ilvC dapD proA fabG hisG hisD hisB hisA"
2.47078947556485e-14,39,201,4.06654228855721,"Organic acid metabolic process","https://amigo.geneontology.org/amigo/term/GO:0006082","ilvE ilvD ilvG leuC aroF argD metC leuB ykgF aspC metB hisC serC ilvI aroC dapA bioD2 APL_1125 aroE trpE trpD argH serB serA thrC cysE poxA lipA glmS nanA ilvC dapD dapE proA fabG hisG hisD hisB hisA"
9.60131878192556e-14,26,86,6.33624031007752,"Alpha-amino acid metabolic process","https://amigo.geneontology.org/amigo/term/GO:1901605","ilvE ilvD ilvG leuC argD metC leuB aspC metB hisC serC ilvI dapA APL_1125 trpE trpD argH serB serA thrC cysE glmS ilvC dapD dapE proA"
4.68122490669418e-11,32,168,3.99206349206349,"Small molecule biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:0044283","ilvE ilvD ilvG leuC aroF dxs argD leuB hisC serC ilvI aroC dapA bioD2 aroE trpE trpD argH serB serA thrC cysE lipA ilvC dapD dapE proA fabG hisG hisD hisB hisA"
3.71149883433138e-10,20,67,6.25621890547264,"Alpha-amino acid biosynthetic process","https://amigo.geneontology.org/amigo/term/GO:1901607","ilvE ilvD ilvG leuC argD leuB serC ilvI dapA trpE trpD argH serB serA thrC cysE ilvC dapD dapE proA"
2.42138189214685e-09,13,27,10.091049382716,"Branched-chain amino acid metabolic process, and Cysteine and methionine metabolism","","ilvE ilvD ilvG leuC leuB metB serC ilvI serB serA thrC cysE ilvC"
