from,to,combined_score
11,18,999
30,78,999
77,78,999
40,41,998
76,78,998
78,79,996
76,77,995
3,5,989
31,51,986
77,79,984
5,68,982
21,23,982
76,79,980
6,68,978
30,77,969
6,18,968
32,68,968
18,32,964
23,67,962
33,40,950
21,67,946
31,43,945
5,6,944
27,30,943
5,32,928
16,29,924
31,52,922
5,11,911
3,29,910
11,68,910
16,27,910
6,32,909
18,68,889
27,47,871
33,39,856
43,53,852
5,18,836
30,79,832
64,67,829
9,10,828
18,51,809
16,47,807
23,64,790
3,68,788
25,26,776
30,76,745
11,51,698
43,78,698
52,68,689
56,68,686
21,64,662
1,26,658
8,23,649
25,68,649
53,72,642
25,32,636
6,11,629
32,64,629
1,58,612
43,79,608
4,26,584
31,69,578
43,77,556
35,69,553
36,71,553
30,33,546
11,32,538
31,70,527
42,77,524
18,20,518
11,78,513
30,41,511
5,78,508
69,70,506
3,32,501
5,41,499
3,6,498
10,50,496
51,52,493
33,41,492
3,11,479
29,78,478
39,40,473
39,41,470
5,77,461
9,34,456
35,79,454
23,24,452
3,4,440
5,33,437
18,52,431
30,43,427
18,78,419
29,30,419
18,42,418
30,35,416
6,30,412
34,68,410
38,71,410
43,76,406
27,29,405
41,77,405
23,38,404
29,79,403
29,35,401
