metric,value
candidate_loci_TSS,96
candidate_loci_operon,96
candidate_loci_integrated,96
method_level_interactions,122
unique_prediction_loci,96
interactions_CopraRNA,31
interactions_IntaRNA,55
interactions_TargetRNA2,36
genes_operon_compatible_with_local_TSS,30
genes_internal_or_last_with_local_TSS,19
genes_without_representative_TSS,47
defined_operon_aware_5UTRs,30
candidate_internal_transcript_5UTRs,19
interactions_classified_5UTR,14
interactions_candidate_internal_5UTR,6
interactions_overlapping_start_codon,45
interactions_CDS,29
interactions_upstream_of_TSS,0
prediction_statistics_QC_rows,0
duplicate_method_level_interactions,0
