reference_locus,old_locus_tag,gene,annotation,strand,gene_start,gene_end
MIDG2331_RS00005,MIDG2331_00001,dnaA,chromosomal replication initiator protein DnaA,+,192,1547
MIDG2331_RS00010,MIDG2331_00002,dnaN,DNA polymerase III subunit beta,+,1564,2667
MIDG2331_RS00015,MIDG2331_00003,recF,DNA replication/repair protein RecF,+,3001,4083
MIDG2331_RS00020,MIDG2331_00004,sodC,superoxide dismutase family protein,-,4139,4711
MIDG2331_RS00025,MIDG2331_00005,asd,aspartate-semialdehyde dehydrogenase,+,4894,6006
MIDG2331_RS00030,MIDG2331_00006,,porin,-,6133,7263
MIDG2331_RS00035,MIDG2331_00007,lpxB,lipid-A-disaccharide synthase,+,7412,8593
MIDG2331_RS00040,MIDG2331_00008,sohB,protease SohB,+,8623,9678
MIDG2331_RS00045,MIDG2331_00009,mraZ,division/cell wall cluster transcriptional repressor MraZ,+,9914,10372
MIDG2331_RS00050,MIDG2331_00010,rsmH,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,+,10398,11339
MIDG2331_RS00055,MIDG2331_00011,ftsL,cell division protein FtsL,+,11352,11666
MIDG2331_RS00060,MIDG2331_00012,,penicillin-binding transpeptidase domain-containing protein,+,11670,13730
MIDG2331_RS00065,MIDG2331_00013,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",+,13754,15256
MIDG2331_RS00070,MIDG2331_00014,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,+,15471,16865
MIDG2331_RS00075,MIDG2331_00015,mraY,phospho-N-acetylmuramoyl-pentapeptide- transferase,+,16962,18044
MIDG2331_RS00080,MIDG2331_00016,murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,+,18128,19438
MIDG2331_RS00085,MIDG2331_00017,ftsW,putative lipid II flippase FtsW,+,19440,20618
