reference_locus,identifier,mapping_source,STRING_id,candidate_id,gene,annotation,CopraRNA,TargetRNA2,IntaRNA,n_methods,prediction_support,n_methods_recalculated,support_group,display_name,annotation_lower,functional_category,preferred_name
MIDG2331_RS00110,FTSA,Gene name,416269.APL_0022,7,ftsA,cell division protein FtsA,TRUE,FALSE,TRUE,2,2,2,Predicted by 2 tools,ftsA,cell division protein ftsa,Other,
MIDG2331_RS00360,DPPF,Gene name,416269.APL_0068,44,dppF,ABC transporter ATP-binding protein,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,dppF,abc transporter atp-binding protein,Other,
MIDG2331_RS00380,ILVE,Gene name,416269.APL_0072,61,ilvE,branched-chain amino acid aminotransferase,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,ilvE,branched-chain amino acid aminotransferase,Amino-acid transport and metabolism,
MIDG2331_RS00390,RECR,Gene name,416269.APL_0074,81,recR,recombination mediator RecR,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,recR,recombination mediator recr,Other,
MIDG2331_RS00505,ILVD,Gene name,416269.APL_0097,14,ilvD,dihydroxy-acid dehydratase,FALSE,TRUE,TRUE,2,2,2,Predicted by 2 tools,ilvD,dihydroxy-acid dehydratase,Other,
MIDG2331_RS00515,ILVG,Gene name,416269.APL_0099,2,ilvG,acetolactate synthase 2 catalytic subunit,TRUE,TRUE,TRUE,3,3,3,Predicted by 3 tools,ilvG,acetolactate synthase 2 catalytic subunit,Amino-acid transport and metabolism,
MIDG2331_RS00615,PROQ,Gene name,416269.APL_0119,78,proQ,RNA chaperone ProQ,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,proQ,rna chaperone proq,Other,
MIDG2331_RS00670,RSGA,Gene name,416269.APL_0130,20,rsgA,small ribosomal subunit biogenesis GTPase RsgA,TRUE,FALSE,TRUE,2,2,2,Predicted by 2 tools,rsgA,small ribosomal subunit biogenesis gtpase rsga,Other,
MIDG2331_RS00675,GCVA,Gene name,416269.APL_0131,52,gcvA,transcriptional regulator GcvA,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,gcvA,transcriptional regulator gcva,Regulation,
MIDG2331_RS00685,CYSB,Gene name,416269.APL_0133,38,cysB,HTH-type transcriptional regulator CysB,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,cysB,hth-type transcriptional regulator cysb,Regulation,
MIDG2331_RS00715,LEUC,Gene name,416269.APL_0139,64,leuC,3-isopropylmalate dehydratase large subunit,FALSE,FALSE,TRUE,1,1,1,Predicted by 1 tool,leuC,3-isopropylmalate dehydratase large subunit,Amino-acid transport and metabolism,
MIDG2331_RS00895,DKSA,Gene name,416269.APL_0175,41,dksA,RNA polymerase-binding protein DksA,FALSE,TRUE,FALSE,1,1,1,Predicted by 1 tool,dksA,rna polymerase-binding protein dksa,Other,
MIDG2331_RS00945,AROF,Gene name,416269.APL_0185,31,aroF,3-deoxy-7-phosphoheptulonate synthase,TRUE,FALSE,FALSE,1,1,1,Predicted by 1 tool,aroF,3-deoxy-7-phosphoheptulonate synthase,Other,
