reference_locus,gene,annotation,strand,gene_start,gene_end,translation_start,WT_plate_TSS,WT_plate_distance,WT_plate_score,n_proximal_WT_plate,WT_broth_TSS,WT_broth_distance,WT_broth_score,n_proximal_WT_broth,TSS_difference,TSS_support,representative_TSS,UTR5_length,representative_TSS_rel_start,multiple_proximal_TSS
MIDG2331_RS00110,ftsA,cell division protein FtsA,+,25146,26420,25146,,,,0,,,,0,,No_proximal_TSS,,,,FALSE
MIDG2331_RS00360,dppF,ABC transporter ATP-binding protein,+,80285,81274,80285,,,,0,,,,0,,No_proximal_TSS,,,,FALSE
MIDG2331_RS00380,ilvE,branched-chain amino acid aminotransferase,-,82953,83990,83990,84019,29,17.314,6,84486,496,281.278,1,467,Both_discordant,,,,TRUE
MIDG2331_RS00390,recR,recombination mediator RecR,-,84536,85141,85141,85577,436,140.439,1,85577,436,120.152,1,0,Both_concordant,85577,436,-436,FALSE
MIDG2331_RS00505,ilvD,dihydroxy-acid dehydratase,-,100919,102754,102754,,,,0,,,,0,,No_proximal_TSS,,,,FALSE
MIDG2331_RS00515,ilvG,acetolactate synthase 2 catalytic subunit,-,103111,104763,104763,,,,0,104815,52,47.618,1,,WT_broth_only,104815,52,-52,FALSE
MIDG2331_RS00615,proQ,RNA chaperone ProQ,+,138579,139127,138579,138523,56,205.849,2,138522,57,229.231,2,1,Both_concordant,138523,56,-56,TRUE
MIDG2331_RS00670,rsgA,small ribosomal subunit biogenesis GTPase RsgA,-,148122,149156,149156,149183,27,34.629,2,149183,27,266.328,2,0,Both_concordant,149183,27,-27,TRUE
MIDG2331_RS00675,gcvA,transcriptional regulator GcvA,+,149666,150556,149666,149468,198,83.365,3,149414,252,44.296,3,54,Both_discordant,,,,TRUE
MIDG2331_RS00685,cysB,HTH-type transcriptional regulator CysB,+,151236,152219,151236,151123,113,20.521,1,151123,113,52.601,1,0,Both_concordant,151123,113,-113,FALSE
MIDG2331_RS00715,leuC,3-isopropylmalate dehydratase large subunit,-,157199,158608,158608,158703,95,21.803,1,158703,95,28.239,1,0,Both_concordant,158703,95,-95,FALSE
MIDG2331_RS00895,dksA,RNA polymerase-binding protein DksA,+,196616,197065,196616,196551,65,25.01,2,196542,74,100.773,2,9,Both_concordant,196551,65,-65,TRUE
MIDG2331_RS00945,aroF,3-deoxy-7-phosphoheptulonate synthase,-,207567,208628,208628,,,,0,208660,32,14.396,1,,WT_broth_only,208660,32,-32,FALSE
MIDG2331_RS01055,dxs,1-deoxy-D-xylulose-5-phosphate synthase,+,228650,230503,228650,,,,0,,,,0,,No_proximal_TSS,,,,FALSE
MIDG2331_RS01105,csy1,type I-F CRISPR-associated protein Csy1,-,242676,244025,244025,244050,25,28.216,1,244049,24,100.773,1,1,Both_concordant,244050,25,-25,FALSE
MIDG2331_RS01225,mutT,8-oxo-dGTP diphosphatase MutT,+,262206,262604,262206,,,,0,262151,55,12.735,1,,WT_broth_only,262151,55,-55,FALSE
MIDG2331_RS01240,argD2,aspartate aminotransferase family protein,+,264681,265862,264681,,,,0,,,,0,,No_proximal_TSS,,,,FALSE
MIDG2331_RS01485,hsdM2,type I restriction-modification system subunit M,+,320994,322544,320994,,,,0,,,,0,,No_proximal_TSS,,,,FALSE
MIDG2331_RS01660,metC,cystathionine beta-lyase,-,361950,363140,363140,,,,0,,,,0,,No_proximal_TSS,,,,FALSE
MIDG2331_RS01960,glpB,glycerol-3-phosphate dehydrogenase subunit GlpB,+,437895,439181,437895,,,,0,,,,0,,No_proximal_TSS,,,,FALSE
MIDG2331_RS02235,leuB,3-isopropylmalate dehydrogenase,+,494812,495894,494812,494782,30,11.543,2,494782,30,49.279,2,0,Both_concordant,494782,30,-30,TRUE
MIDG2331_RS02245,gap,type I glyceraldehyde-3-phosphate dehydrogenase,+,496636,497640,496636,496603,33,19.879,3,496567,69,11.074,2,36,Both_discordant,,,,TRUE
MIDG2331_RS02300,ykgF,LutB/LldF family L-lactate oxidation iron-sulfur protein,-,517763,519172,519172,519504,332,17.956,1,,,,0,,WT_plate_only,519504,332,-332,FALSE
MIDG2331_RS02335,sucC,ADP-forming succinate--CoA ligase subunit beta,-,526806,527972,527972,528006,34,160.959,1,528006,34,253.04,1,0,Both_concordant,528006,34,-34,FALSE
MIDG2331_RS02505,rplY,50S ribosomal protein L25,+,562824,563111,562824,562752,72,13.467,3,562723,101,325.574,1,29,Both_discordant,,,,TRUE
MIDG2331_RS02785,mukB,chromosome partition protein MukB,+,621450,625940,621450,,,,0,,,,0,,No_proximal_TSS,,,,FALSE
MIDG2331_RS02890,rpsI,30S ribosomal protein S9,+,651993,652388,651993,651821,172,41.041,1,,,,0,,WT_plate_only,651821,172,-172,FALSE
MIDG2331_RS02905,fieF,cation diffusion facilitator family transporter,+,653863,654786,653863,,,,0,,,,0,,No_proximal_TSS,,,,FALSE
MIDG2331_RS02970,lrp,leucine-responsive transcriptional regulator Lrp,+,667396,667878,667396,667246,150,18.597,1,667246,150,42.081,1,0,Both_concordant,667246,150,-150,FALSE
MIDG2331_RS02975,ftsK,DNA translocase FtsK,+,667890,670760,667890,,,,0,,,,0,,No_proximal_TSS,,,,FALSE
MIDG2331_RS03230,ompP2B,porin,-,712179,713264,713264,713270,6,29.499,3,713331,67,38.759,2,61,Both_discordant,,,,TRUE
MIDG2331_RS03295,aspC,amino acid aminotransferase,+,725436,726632,725436,,,,0,725403,33,396.447,1,,WT_broth_only,725403,33,-33,FALSE
