reference_locus,gene,prediction_source,interaction_start,interaction_stop
MIDG2331_RS00675,gcvA,CopraRNA,1,89
MIDG2331_RS10235,dapD,CopraRNA,27,89
MIDG2331_RS00945,aroF,CopraRNA,31,61
MIDG2331_RS10965,rimI,CopraRNA,31,82
MIDG2331_RS00110,ftsA,CopraRNA,49,90
MIDG2331_RS02505,rplY,CopraRNA,50,83
MIDG2331_RS08750,mrdA,CopraRNA,53,84
MIDG2331_RS08490,wecC,CopraRNA,54,91
MIDG2331_RS07335,artI,CopraRNA,54,92
MIDG2331_RS00670,rsgA,CopraRNA,54,97
MIDG2331_RS06420,sprT,CopraRNA,58,91
MIDG2331_RS07270,pepN,CopraRNA,63,93
MIDG2331_RS01660,metC,CopraRNA,69,89
MIDG2331_RS03735,aroC,CopraRNA,72,89
MIDG2331_RS01240,argD2,CopraRNA,72,94
MIDG2331_RS00515,ilvG,CopraRNA,73,87
MIDG2331_RS10200,ilvC,CopraRNA,73,95
MIDG2331_RS11065,hisA,CopraRNA,74,95
MIDG2331_RS04600,hlpA,CopraRNA,75,88
MIDG2331_RS06780,ptsB,CopraRNA,75,89
MIDG2331_RS02235,leuB,CopraRNA,76,93
MIDG2331_RS02890,rpsI,CopraRNA,79,88
MIDG2331_RS05925,trpE,CopraRNA,79,89
MIDG2331_RS11030,hisD,CopraRNA,84,95
MIDG2331_RS03840,sstT,CopraRNA,133,147
MIDG2331_RS03400,metB,CopraRNA,133,170
MIDG2331_RS08720,lipA,CopraRNA,133,179
MIDG2331_RS08210,cysE,CopraRNA,135,164
MIDG2331_RS04690,iscU,CopraRNA,135,166
MIDG2331_RS02335,sucC,CopraRNA,140,149
MIDG2331_RS06145,hxpB,CopraRNA,173,180
MIDG2331_RS00380,ilvE,TargetRNA2,70,88
MIDG2331_RS10890,fabG,TargetRNA2,71,83
MIDG2331_RS05935,trpD,TargetRNA2,71,86
MIDG2331_RS10295,dapE,TargetRNA2,71,88
MIDG2331_RS09295,fkpA2,TargetRNA2,72,85
MIDG2331_RS00515,ilvG,TargetRNA2,72,88
MIDG2331_RS10200,ilvC,TargetRNA2,72,90
MIDG2331_RS03295,aspC,TargetRNA2,73,89
