No,Gene,MIDG2331 locus tag,Annotation,Prediction support,Interaction context,TSS evidence,5' UTR length (nt),Operon position
1,ilvC,MIDG2331_RS10200,ketol-acid reductoisomerase,"C, I, T",5' leader / upstream,WT plate + broth (concordant),78,Single-gene
2,ilvG,MIDG2331_RS00515,acetolactate synthase 2 catalytic subunit,"C, I, T",Overlaps start codon,WT broth only,52,First in operon
3,arcD1,MIDG2331_RS05485,basic amino acid/polyamine antiporter,"I, T",5' leader / upstream,No independent proximal TSS detected,,Internal in operon
4,aspC,MIDG2331_RS03295,amino acid aminotransferase,"I, T",5' leader / upstream,WT broth only,33,Single-gene
5,dapA,MIDG2331_RS04545,4-hydroxy-tetrahydrodipicolinate synthase,"I, T",5' leader / upstream,WT plate + broth (discordant),,Single-gene
6,dapE,MIDG2331_RS10295,succinyl-diaminopimelate desuccinylase,"I, T",Overlaps start codon; CDS,Concordant proximal signal (internal/last operon gene),,Internal in operon
7,ftsA,MIDG2331_RS00110,cell division protein FtsA,"C, I",Overlaps start codon,No independent proximal TSS detected,,Internal in operon
8,ftsK,MIDG2331_RS02975,DNA translocase FtsK,"I, T",5' leader / upstream,No independent proximal TSS detected,,Last in operon
9,gntR,MIDG2331_RS09100,gluconate operon transcriptional repressor GntR,"I, T",5' leader / upstream; Overlaps start codon,WT broth only,41,Single-gene
10,hisB,MIDG2331_RS11045,bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB,"I, T",Overlaps start codon,No independent proximal TSS detected,,Last in operon
11,hisD,MIDG2331_RS11030,histidinol dehydrogenase,"C, T",Overlaps start codon,WT plate proximal signal (internal/last operon gene),,Internal in operon
12,hlpA,MIDG2331_RS04600,MetQ/NlpA family lipoprotein,"C, I",5' leader / upstream,No independent proximal TSS detected,,Internal in operon
13,hxpB,MIDG2331_RS06145,hexitol phosphatase HxpB,"C, I",CDS,WT plate + broth (concordant),30,Single-gene
14,ilvD,MIDG2331_RS00505,dihydroxy-acid dehydratase,"I, T",5' leader / upstream,No independent proximal TSS detected,,Last in operon
15,ilvI,MIDG2331_RS03630,acetolactate synthase 3 large subunit,"I, T",5' leader / upstream,WT broth only,48,First in operon
16,lrp,MIDG2331_RS02970,leucine-responsive transcriptional regulator Lrp,"I, T",CDS; 5' leader / upstream,WT plate + broth (concordant),150,First in operon
17,metB,MIDG2331_RS03400,methionine biosynthesis PLP-dependent protein,"C, I",Overlaps start codon,No proximal TSS,,Single-gene
