reference_locus,gene,annotation
MIDG2331_RS00005,dnaA,chromosomal replication initiator protein DnaA
MIDG2331_RS00010,dnaN,DNA polymerase III subunit beta
MIDG2331_RS00015,recF,DNA replication/repair protein RecF
MIDG2331_RS00020,sodC,superoxide dismutase family protein
MIDG2331_RS00025,asd,aspartate-semialdehyde dehydrogenase
MIDG2331_RS00030,,porin
MIDG2331_RS00035,lpxB,lipid-A-disaccharide synthase
MIDG2331_RS00040,sohB,protease SohB
MIDG2331_RS00045,mraZ,division/cell wall cluster transcriptional repressor MraZ
MIDG2331_RS00050,rsmH,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH
MIDG2331_RS00055,ftsL,cell division protein FtsL
MIDG2331_RS00060,,penicillin-binding transpeptidase domain-containing protein
MIDG2331_RS00065,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase"
MIDG2331_RS00070,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase
MIDG2331_RS00075,mraY,phospho-N-acetylmuramoyl-pentapeptide- transferase
MIDG2331_RS00080,murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
MIDG2331_RS00085,ftsW,putative lipid II flippase FtsW
MIDG2331_RS00090,murG,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
MIDG2331_RS00095,murC,UDP-N-acetylmuramate--L-alanine ligase
MIDG2331_RS00100,,D-alanine--D-alanine ligase
MIDG2331_RS00105,,cell division protein FtsQ/DivIB
MIDG2331_RS00110,ftsA,cell division protein FtsA
MIDG2331_RS00115,ftsZ,cell division protein FtsZ
MIDG2331_RS00120,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase
MIDG2331_RS00125,recN,DNA repair protein RecN
MIDG2331_RS00130,,ABC transporter ATP-binding protein
MIDG2331_RS00135,,ABC transporter permease
MIDG2331_RS00140,,ABC transporter permease
MIDG2331_RS00145,,ABC transporter substrate-binding protein
MIDG2331_RS00150,prfC,peptide chain release factor 3
MIDG2331_RS00155,,DUF805 domain-containing protein
MIDG2331_RS00160,,DUF805 domain-containing protein
MIDG2331_RS00165,pth,aminoacyl-tRNA hydrolase
MIDG2331_RS00170,ychF,redox-regulated ATPase YchF
MIDG2331_RS00175,,methyltransferase family protein
MIDG2331_RS00180,,hypothetical protein
MIDG2331_RS00185,,outer membrane lipoprotein
MIDG2331_RS00190,,VOC family protein
MIDG2331_RS00195,argS,arginine--tRNA ligase
MIDG2331_RS00200,cgtA,Obg family GTPase CgtA
MIDG2331_RS00205,,HI_0552 family protein
MIDG2331_RS00210,rlmB,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
MIDG2331_RS00215,pssA,CDP-diacylglycerol--serine O-phosphatidyltransferase
MIDG2331_RS00220,ileS,isoleucine--tRNA ligase
MIDG2331_RS00225,ribF,bifunctional riboflavin kinase/FAD synthetase
