seqname,source,feature,orf_start,orf_end,score,strand,frame,attributes,operonmapper_id,product,orf_left,orf_right,orf_length,operon_id,operon_size,operon_position,operon_role,previous_orf,next_orf,operon_first_orf,operon_last_orf,operon_left,operon_right,operon_members_ordered
NZ_LN908249.1,Protein Homology,CDS,192,1547,.,+,0,ID=dnaA;product=Chromosomal_replication_initiator_protein_DnaA,dnaA,Chromosomal replication initiator protein DnaA,192,1547,1356,1,3,1,first,,dnaN,dnaA,recF,192,4083,dnaA;dnaN;recF
NZ_LN908249.1,Protein Homology,CDS,1564,2667,.,+,0,ID=dnaN;product=DNA_polymerase_III_subunit_beta,dnaN,DNA polymerase III subunit beta,1564,2667,1104,1,3,2,internal,dnaA,recF,dnaA,recF,192,4083,dnaA;dnaN;recF
NZ_LN908249.1,Protein Homology,CDS,3001,4083,.,+,0,ID=recF;product=DNA_replication_and_repair_protein_RecF,recF,DNA replication and repair protein RecF,3001,4083,1083,1,3,3,last,dnaN,,dnaA,recF,192,4083,dnaA;dnaN;recF
NZ_LN908249.1,Protein Homology,CDS,4139,4711,.,-,0,ID=sodC;product=Superoxide_dismutase_[Cu-Zn],sodC,Superoxide dismutase [Cu-Zn],4139,4711,573,2,1,1,single,,,sodC,sodC,4139,4711,sodC
NZ_LN908249.1,Protein Homology,CDS,4894,6006,.,+,0,ID=asd;product=Aspartate-semialdehyde_dehydrogenase,asd,Aspartate-semialdehyde dehydrogenase,4894,6006,1113,3,1,1,single,,,asd,asd,4894,6006,asd
NZ_LN908249.1,Protein Homology,CDS,6133,7263,.,-,0,ID=cds-WP_039769592.1;product=Outer_membrane_protein_P2,cds-WP_039769592.1,Outer membrane protein P2,6133,7263,1131,4,1,1,single,,,cds-WP_039769592.1,cds-WP_039769592.1,6133,7263,cds-WP_039769592.1
NZ_LN908249.1,Protein Homology,CDS,7412,8593,.,+,0,ID=lpxB;product=Lipid-A-disaccharide_synthase,lpxB,Lipid-A-disaccharide synthase,7412,8593,1182,5,2,1,first,,sohB,lpxB,sohB,7412,9678,lpxB;sohB
NZ_LN908249.1,Protein Homology,CDS,8623,9678,.,+,0,ID=sohB;product=Probable_protease_SohB,sohB,Probable protease SohB,8623,9678,1056,5,2,2,last,lpxB,,lpxB,sohB,7412,9678,lpxB;sohB
NZ_LN908249.1,Protein Homology,CDS,9914,10372,.,+,0,ID=mraZ;product=Transcriptional_regulator_MraZ,mraZ,Transcriptional regulator MraZ,9914,10372,459,6,16,1,first,,rsmH,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
NZ_LN908249.1,Protein Homology,CDS,10398,11339,.,+,0,ID=rsmH;product=Ribosomal_RNA_small_subunit_methyltransferase_H,rsmH,Ribosomal RNA small subunit methyltransferase H,10398,11339,942,6,16,2,internal,mraZ,ftsL,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
NZ_LN908249.1,Protein Homology,CDS,11352,11666,.,+,0,ID=ftsL;product=Cell_division_protein_FtsL,ftsL,Cell division protein FtsL,11352,11666,315,6,16,3,internal,rsmH,cds-WP_039709470.1,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
NZ_LN908249.1,Protein Homology,CDS,11670,13730,.,+,0,ID=cds-WP_039709470.1;product=Peptidoglycan_synthase_FtsI,cds-WP_039709470.1,Peptidoglycan synthase FtsI,11670,13730,2061,6,16,4,internal,ftsL,murE,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
NZ_LN908249.1,Protein Homology,CDS,13754,15256,.,+,0,ID=murE;product=UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--26-diaminopimelate_ligase,murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--26-diaminopimelate ligase,13754,15256,1503,6,16,5,internal,cds-WP_039709470.1,murF,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
NZ_LN908249.1,Protein Homology,CDS,15471,16865,.,+,0,ID=murF;product=UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine_ligase,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,15471,16865,1395,6,16,6,internal,murE,mraY,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
NZ_LN908249.1,Protein Homology,CDS,16962,18044,.,+,0,ID=mraY;product=Phospho-N-acetylmuramoyl-pentapeptide-transferase,mraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase,16962,18044,1083,6,16,7,internal,murF,murD,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
NZ_LN908249.1,Protein Homology,CDS,18128,19438,.,+,0,ID=murD;product=UDP-N-acetylmuramoylalanine--D-glutamate_ligase,murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase,18128,19438,1311,6,16,8,internal,mraY,ftsW,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
NZ_LN908249.1,Protein Homology,CDS,19440,20618,.,+,0,ID=ftsW;product=Putative_lipid_II_flippase_FtsW,ftsW,Putative lipid II flippase FtsW,19440,20618,1179,6,16,9,internal,murD,murG,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
