reference_locus,gene,annotation,strand,gene_start,gene_end,translation_start,condition,TSS_coord,score_numeric,tss_source,tss_feature,tss_attribute,upstream_distance
MIDG2331_RS00110,ftsA,cell division protein FtsA,+,25146,26420,25146,WT_broth,24604,60.353,vertis,TSS,LN908249_24604_60.353_+_1.51406444285081,542
MIDG2331_RS00110,ftsA,cell division protein FtsA,+,25146,26420,25146,WT_broth,24452,187.703,vertis,TSS,LN908249_24452_187.703_+_3.20648576074107,694
MIDG2331_RS00110,ftsA,cell division protein FtsA,+,25146,26420,25146,WT_plate,24604,15.391,vertis,TSS,LN908249_24604_15.391_+_0.95523950353814,542
MIDG2331_RS00110,ftsA,cell division protein FtsA,+,25146,26420,25146,WT_plate,24452,62.845,vertis,TSS,LN908249_24452_62.845_+_2.22816601549067,694
MIDG2331_RS00380,ilvE,branched-chain amino acid aminotransferase,-,82953,83990,83990,WT_broth,84486,281.278,vertis,TSS,LN908249_84486_281.278_-_2.31271498796314,496
MIDG2331_RS00380,ilvE,branched-chain amino acid aminotransferase,-,82953,83990,83990,WT_broth,85577,120.152,vertis,TSS,LN908249_85577_120.152_-_1.25803844458779,1587
MIDG2331_RS00380,ilvE,branched-chain amino acid aminotransferase,-,82953,83990,83990,WT_plate,84019,17.314,vertis,TSS,LN908249_84019_17.314_-_0.625480692872801,29
MIDG2331_RS00380,ilvE,branched-chain amino acid aminotransferase,-,82953,83990,83990,WT_plate,84027,101.321,vertis,TSS,LN908249_84027_101.321_-_0.797241707577547,37
MIDG2331_RS00380,ilvE,branched-chain amino acid aminotransferase,-,82953,83990,83990,WT_plate,84376,92.985,vertis,TSS,LN908249_84376_92.985_-_1.70765686362422,386
MIDG2331_RS00380,ilvE,branched-chain amino acid aminotransferase,-,82953,83990,83990,WT_plate,84410,37.835,vertis,TSS,LN908249_84410_37.835_-_2.25287397767978,420
MIDG2331_RS00380,ilvE,branched-chain amino acid aminotransferase,-,82953,83990,83990,WT_plate,84422,14.749,vertis,TSS,LN908249_84422_14.749_-_2.75161436638637,432
MIDG2331_RS00380,ilvE,branched-chain amino acid aminotransferase,-,82953,83990,83990,WT_plate,84488,515.583,vertis,TSS,LN908249_84488_515.583_-_1.40348540933515,498
MIDG2331_RS00380,ilvE,branched-chain amino acid aminotransferase,-,82953,83990,83990,WT_plate,85577,140.439,vertis,TSS,LN908249_85577_140.439_-_3.17004827973517,1587
MIDG2331_RS00390,recR,recombination mediator RecR,-,84536,85141,85141,WT_broth,85577,120.152,vertis,TSS,LN908249_85577_120.152_-_1.25803844458779,436
MIDG2331_RS00390,recR,recombination mediator RecR,-,84536,85141,85141,WT_plate,85577,140.439,vertis,TSS,LN908249_85577_140.439_-_3.17004827973517,436
MIDG2331_RS00515,ilvG,acetolactate synthase 2 catalytic subunit,-,103111,104763,104763,WT_broth,104815,47.618,vertis,TSS,LN908249_104815_47.618_-_2.19964772852068,52
MIDG2331_RS00615,proQ,RNA chaperone ProQ,+,138579,139127,138579,WT_broth,138522,229.231,vertis,TSS,LN908249_138522_229.231_+_3.16727153137632,57
MIDG2331_RS00615,proQ,RNA chaperone ProQ,+,138579,139127,138579,WT_broth,138444,129.565,vertis,TSS,LN908249_138444_129.565_+_0.671710101118154,135
MIDG2331_RS00615,proQ,RNA chaperone ProQ,+,138579,139127,138579,WT_plate,138523,205.849,vertis,TSS,LN908249_138523_205.849_+_3.40485742737517,56
MIDG2331_RS00615,proQ,RNA chaperone ProQ,+,138579,139127,138579,WT_plate,138444,67.334,vertis,TSS,LN908249_138444_67.334_+_0.221314384636119,135
MIDG2331_RS00670,rsgA,small ribosomal subunit biogenesis GTPase RsgA,-,148122,149156,149156,WT_broth,149183,266.328,vertis,TSS,LN908249_149183_266.328_-_0.825253520275401,27
MIDG2331_RS00670,rsgA,small ribosomal subunit biogenesis GTPase RsgA,-,148122,149156,149156,WT_broth,149253,22.148,vertis,TSS,LN908249_149253_22.148_-_2.3361987098568,97
MIDG2331_RS00670,rsgA,small ribosomal subunit biogenesis GTPase RsgA,-,148122,149156,149156,WT_plate,149183,34.629,vertis,TSS,LN908249_149183_34.629_-_0.443918312931668,27
MIDG2331_RS00670,rsgA,small ribosomal subunit biogenesis GTPase RsgA,-,148122,149156,149156,WT_plate,149554,78.235,vertis,TSS,LN908249_149554_78.235_-_1.81907525783756,398
MIDG2331_RS00675,gcvA,transcriptional regulator GcvA,+,149666,150556,149666,WT_broth,149414,44.296,vertis,TSS,LN908249_149414_44.296_+_2.79577424335098,252
MIDG2331_RS00675,gcvA,transcriptional regulator GcvA,+,149666,150556,149666,WT_broth,149349,2913.001,vertis,TSS,LN908249_149349_2913.001_+_4.31133924893803,317
MIDG2331_RS00675,gcvA,transcriptional regulator GcvA,+,149666,150556,149666,WT_broth,149275,106.31,vertis,TSS,LN908249_149275_106.310_+_2.88885309047015,391
MIDG2331_RS00675,gcvA,transcriptional regulator GcvA,+,149666,150556,149666,WT_plate,149468,83.365,vertis,TSS,LN908249_149468_83.365_+_3.92851093920646,198
MIDG2331_RS00675,gcvA,transcriptional regulator GcvA,+,149666,150556,149666,WT_plate,149349,13.467,vertis,TSS,LN908249_149349_13.467_+_3.2982341503788,317
MIDG2331_RS00675,gcvA,transcriptional regulator GcvA,+,149666,150556,149666,WT_plate,149275,14.749,vertis,TSS,LN908249_149275_14.749_+_1.94444767513873,391
MIDG2331_RS00685,cysB,HTH-type transcriptional regulator CysB,+,151236,152219,151236,WT_broth,151123,52.601,vertis,TSS,LN908249_151123_52.601_+_1.21074644896633,113
MIDG2331_RS00685,cysB,HTH-type transcriptional regulator CysB,+,151236,152219,151236,WT_broth,149678,17.165,vertis,TSS,LN908249_149678_17.165_+_0.72761055845992,1558
MIDG2331_RS00685,cysB,HTH-type transcriptional regulator CysB,+,151236,152219,151236,WT_broth,149414,44.296,vertis,TSS,LN908249_149414_44.296_+_2.79577424335098,1822
MIDG2331_RS00685,cysB,HTH-type transcriptional regulator CysB,+,151236,152219,151236,WT_broth,149349,2913.001,vertis,TSS,LN908249_149349_2913.001_+_4.31133924893803,1887
MIDG2331_RS00685,cysB,HTH-type transcriptional regulator CysB,+,151236,152219,151236,WT_broth,149275,106.31,vertis,TSS,LN908249_149275_106.310_+_2.88885309047015,1961
