reference_locus,gene,method,strand,TSS_support,operon_role,transcript_context_class,representative_TSS_rel_start,local_UTR5_length,operon_aware_UTR5_length,binding_left,binding_right,srna_binding_left,srna_binding_right,binding_context
MIDG2331_RS00110,ftsA,CopraRNA,+,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-20,18,49,90,overlaps_start_codon
MIDG2331_RS00110,ftsA,IntaRNA,+,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-20,19,49,90,overlaps_start_codon
MIDG2331_RS00360,dppF,IntaRNA,+,No_proximal_TSS,last,Last_gene_without_local_TSS,,,,44,60,58,75,CDS
MIDG2331_RS00380,ilvE,TargetRNA2,-,Both_discordant,first,Operon_first_gene_without_representative_TSS,,,,-12,8,70,88,overlaps_start_codon
MIDG2331_RS00390,recR,IntaRNA,-,Both_concordant,last,Last_gene_with_local_TSS_candidate,-436,436,,-1,31,60,92,overlaps_start_codon
MIDG2331_RS00505,ilvD,IntaRNA,-,No_proximal_TSS,last,Last_gene_without_local_TSS,,,,-31,-21,77,87,upstream_unresolved
MIDG2331_RS00505,ilvD,TargetRNA2,-,No_proximal_TSS,last,Last_gene_without_local_TSS,,,,-32,-20,76,88,upstream_unresolved
MIDG2331_RS00515,ilvG,CopraRNA,-,WT_broth_only,first,Operon_first_gene_with_local_TSS,-52,52,52,-12,2,73,87,overlaps_start_codon
MIDG2331_RS00515,ilvG,IntaRNA,-,WT_broth_only,first,Operon_first_gene_with_local_TSS,-52,52,52,-10,1,75,85,overlaps_start_codon
MIDG2331_RS00515,ilvG,TargetRNA2,-,WT_broth_only,first,Operon_first_gene_with_local_TSS,-52,52,52,-13,4,72,88,overlaps_start_codon
MIDG2331_RS00615,proQ,IntaRNA,+,Both_concordant,first,Operon_first_gene_with_local_TSS,-56,56,56,-4,33,54,95,overlaps_start_codon
MIDG2331_RS00670,rsgA,CopraRNA,-,Both_concordant,first,Operon_first_gene_with_local_TSS,-27,27,27,25,87,54,97,CDS
MIDG2331_RS00670,rsgA,IntaRNA,-,Both_concordant,first,Operon_first_gene_with_local_TSS,-27,27,27,26,66,63,97,CDS
MIDG2331_RS00675,gcvA,CopraRNA,+,Both_discordant,first,Operon_first_gene_without_representative_TSS,,,,-200,-112,1,89,upstream_unresolved
MIDG2331_RS00685,cysB,IntaRNA,+,Both_concordant,internal,Internal_gene_with_local_TSS_candidate,-113,113,,12,74,28,89,CDS
MIDG2331_RS00715,leuC,IntaRNA,-,Both_concordant,first,Operon_first_gene_with_local_TSS,-95,95,95,-38,-22,76,92,5UTR
MIDG2331_RS00895,dksA,TargetRNA2,+,Both_concordant,first,Operon_first_gene_with_local_TSS,-65,65,65,-16,-1,132,147,5UTR
MIDG2331_RS00945,aroF,CopraRNA,-,WT_broth_only,internal,Internal_gene_with_local_TSS_candidate,-32,32,,-9,22,31,61,overlaps_start_codon
MIDG2331_RS01055,dxs,TargetRNA2,+,No_proximal_TSS,single,Single_gene_without_representative_TSS,,,,-5,12,79,96,overlaps_start_codon
MIDG2331_RS01105,csy1,IntaRNA,-,Both_concordant,first,Operon_first_gene_with_local_TSS,-25,25,25,46,73,58,88,CDS
MIDG2331_RS01225,mutT,IntaRNA,+,WT_broth_only,last,Last_gene_with_local_TSS_candidate,-55,55,,-28,17,39,86,overlaps_start_codon
MIDG2331_RS01240,argD2,CopraRNA,+,No_proximal_TSS,last,Last_gene_without_local_TSS,,,,-3,21,72,94,overlaps_start_codon
MIDG2331_RS01485,hsdM2,IntaRNA,+,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-24,19,134,172,overlaps_start_codon
MIDG2331_RS01660,metC,CopraRNA,-,No_proximal_TSS,single,Single_gene_without_representative_TSS,,,,-9,11,69,89,overlaps_start_codon
MIDG2331_RS01660,metC,IntaRNA,-,No_proximal_TSS,single,Single_gene_without_representative_TSS,,,,-7,15,62,87,overlaps_start_codon
MIDG2331_RS01960,glpB,IntaRNA,+,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-16,-6,135,145,upstream_unresolved
MIDG2331_RS02235,leuB,CopraRNA,+,Both_concordant,single,Single_gene_with_local_TSS,-30,30,30,-2,17,76,93,overlaps_start_codon
MIDG2331_RS02245,gap,IntaRNA,+,Both_discordant,single,Single_gene_without_representative_TSS,,,,57,72,74,90,CDS
MIDG2331_RS02300,ykgF,IntaRNA,-,WT_plate_only,internal,Internal_gene_with_local_TSS_candidate,-332,332,,51,73,72,89,CDS
MIDG2331_RS02335,sucC,CopraRNA,-,Both_concordant,first,Operon_first_gene_with_local_TSS,-34,34,34,-15,-6,140,149,5UTR
MIDG2331_RS02505,rplY,CopraRNA,+,Both_discordant,single,Single_gene_without_representative_TSS,,,,-3,23,50,83,overlaps_start_codon
MIDG2331_RS02505,rplY,IntaRNA,+,Both_discordant,single,Single_gene_without_representative_TSS,,,,-3,24,50,83,overlaps_start_codon
MIDG2331_RS02785,mukB,IntaRNA,+,No_proximal_TSS,last,Last_gene_without_local_TSS,,,,1,31,63,91,CDS
MIDG2331_RS02890,rpsI,CopraRNA,+,WT_plate_only,last,Last_gene_with_local_TSS_candidate,-172,172,,-62,-53,79,88,candidate_internal_5UTR
MIDG2331_RS02905,fieF,IntaRNA,+,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-29,-2,137,170,upstream_unresolved
MIDG2331_RS02970,lrp,IntaRNA,+,Both_concordant,first,Operon_first_gene_with_local_TSS,-150,150,150,41,62,53,73,CDS
MIDG2331_RS02970,lrp,TargetRNA2,+,Both_concordant,first,Operon_first_gene_with_local_TSS,-150,150,150,-76,-63,73,89,5UTR
MIDG2331_RS02975,ftsK,IntaRNA,+,No_proximal_TSS,last,Last_gene_without_local_TSS,,,,-47,-38,133,142,upstream_unresolved
MIDG2331_RS02975,ftsK,TargetRNA2,+,No_proximal_TSS,last,Last_gene_without_local_TSS,,,,-48,-37,132,143,upstream_unresolved
MIDG2331_RS03230,ompP2B,IntaRNA,-,Both_discordant,single,Single_gene_without_representative_TSS,,,,34,48,75,89,CDS
MIDG2331_RS03295,aspC,IntaRNA,+,WT_broth_only,single,Single_gene_with_local_TSS,-33,33,33,-33,-24,79,88,5UTR
MIDG2331_RS03295,aspC,TargetRNA2,+,WT_broth_only,single,Single_gene_with_local_TSS,-33,33,33,-34,-19,73,89,overlaps_selected_TSS
MIDG2331_RS03300,pepP,IntaRNA,-,Both_concordant,single,Single_gene_with_local_TSS,-22,22,22,17,30,43,57,CDS
MIDG2331_RS03400,metB,CopraRNA,-,No_proximal_TSS,single,Single_gene_without_representative_TSS,,,,-22,25,133,170,overlaps_start_codon
MIDG2331_RS03400,metB,IntaRNA,-,No_proximal_TSS,single,Single_gene_without_representative_TSS,,,,-22,26,133,170,overlaps_start_codon
MIDG2331_RS03495,hisC,TargetRNA2,-,Both_concordant,first,Operon_first_gene_with_local_TSS,-34,34,34,2,20,74,89,CDS
MIDG2331_RS03505,serC,TargetRNA2,-,No_proximal_TSS,single,Single_gene_without_representative_TSS,,,,-10,6,74,90,overlaps_start_codon
MIDG2331_RS03630,ilvI,IntaRNA,+,WT_broth_only,first,Operon_first_gene_with_local_TSS,-48,48,48,-40,-14,63,89,5UTR
MIDG2331_RS03630,ilvI,TargetRNA2,+,WT_broth_only,first,Operon_first_gene_with_local_TSS,-48,48,48,-41,-26,75,90,5UTR
MIDG2331_RS03735,aroC,CopraRNA,-,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,3,21,72,89,CDS
MIDG2331_RS03810,arfA,IntaRNA,-,Both_concordant,single,Single_gene_with_local_TSS,-41,41,41,13,41,157,184,CDS
MIDG2331_RS03840,sstT,CopraRNA,-,WT_broth_only,single,Single_gene_with_local_TSS,-64,64,64,-16,-4,133,147,5UTR
MIDG2331_RS04545,dapA,IntaRNA,-,Both_discordant,single,Single_gene_without_representative_TSS,,,,-15,-8,141,148,upstream_unresolved
MIDG2331_RS04545,dapA,TargetRNA2,-,Both_discordant,single,Single_gene_without_representative_TSS,,,,-21,-2,135,154,upstream_unresolved
MIDG2331_RS04600,hlpA,CopraRNA,-,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-28,-15,75,88,upstream_unresolved
MIDG2331_RS04600,hlpA,IntaRNA,-,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-27,-15,75,87,upstream_unresolved
MIDG2331_RS04665,hscA,IntaRNA,-,No_proximal_TSS,first,Operon_first_gene_without_representative_TSS,,,,-34,-8,56,87,upstream_unresolved
MIDG2331_RS04690,iscU,CopraRNA,-,WT_plate_only,internal,Internal_gene_with_local_TSS_candidate,-151,151,,-37,-7,135,166,candidate_internal_5UTR
MIDG2331_RS04730,bioD,IntaRNA,-,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-15,-6,134,143,upstream_unresolved
MIDG2331_RS05485,arcD1,IntaRNA,+,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-28,-15,75,88,upstream_unresolved
MIDG2331_RS05485,arcD1,TargetRNA2,+,No_proximal_TSS,internal,Internal_gene_without_local_TSS,,,,-29,-14,74,89,upstream_unresolved
MIDG2331_RS05515,arsB,TargetRNA2,-,No_proximal_TSS,last,Last_gene_without_local_TSS,,,,-13,8,139,159,overlaps_start_codon
MIDG2331_RS05685,tsaD,TargetRNA2,-,Both_concordant,first,Operon_first_gene_with_local_TSS,-492,492,492,-10,9,83,100,overlaps_start_codon
