dataset,reference_locus,gene,annotation,strand,translation_start,n_motif_occurrences,minimum_mismatches,has_exact_motif,has_one_mismatch_motif,has_leq1_mismatch_motif,closest_motif_start_rel_CDS
background,MIDG2331_RS00005,dnaA,chromosomal replication initiator protein DnaA,+,192,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00010,dnaN,DNA polymerase III subunit beta,+,1564,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00015,recF,DNA replication/repair protein RecF,+,3001,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00020,sodC,superoxide dismutase family protein,-,4711,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00025,asd,aspartate-semialdehyde dehydrogenase,+,4894,1,1,FALSE,TRUE,TRUE,-35
background,MIDG2331_RS00030,,porin,-,7263,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00035,lpxB,lipid-A-disaccharide synthase,+,7412,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00040,sohB,protease SohB,+,8623,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00045,mraZ,division/cell wall cluster transcriptional repressor MraZ,+,9914,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00050,rsmH,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,+,10398,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00055,ftsL,cell division protein FtsL,+,11352,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00060,,penicillin-binding transpeptidase domain-containing protein,+,11670,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00065,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",+,13754,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00070,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,+,15471,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00075,mraY,phospho-N-acetylmuramoyl-pentapeptide- transferase,+,16962,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00080,murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,+,18128,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00085,ftsW,putative lipid II flippase FtsW,+,19440,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00090,murG,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,+,20773,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00095,murC,UDP-N-acetylmuramate--L-alanine ligase,+,21880,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00100,,D-alanine--D-alanine ligase,+,23415,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00105,,cell division protein FtsQ/DivIB,+,24467,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00115,ftsZ,cell division protein FtsZ,+,26459,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00120,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,+,27704,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00125,recN,DNA repair protein RecN,+,28786,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00130,,ABC transporter ATP-binding protein,-,32004,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00135,,ABC transporter permease,-,32789,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00140,,ABC transporter permease,-,33739,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00145,,ABC transporter substrate-binding protein,-,35407,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00150,prfC,peptide chain release factor 3,-,37181,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00155,,DUF805 domain-containing protein,+,37364,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00160,,DUF805 domain-containing protein,+,37878,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00165,pth,aminoacyl-tRNA hydrolase,+,38520,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00170,ychF,redox-regulated ATPase YchF,+,39213,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00175,,methyltransferase family protein,+,40376,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00180,,hypothetical protein,-,41138,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00185,,outer membrane lipoprotein,-,41633,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00190,,VOC family protein,-,42256,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00195,argS,arginine--tRNA ligase,+,42354,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00200,cgtA,Obg family GTPase CgtA,+,44225,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00205,,HI_0552 family protein,+,45475,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00210,rlmB,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,-,46929,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00215,pssA,CDP-diacylglycerol--serine O-phosphatidyltransferase,-,48372,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00220,ileS,isoleucine--tRNA ligase,-,51340,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00225,ribF,bifunctional riboflavin kinase/FAD synthetase,-,52363,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00230,nadR,multifunctional transcriptional regulator/nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase NadR,+,52696,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00235,,metallophosphoesterase family protein,+,53973,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00240,arcA,two-component system response regulator ArcA,+,54844,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00245,,porin family protein,+,55612,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00250,,KdsC family phosphatase,-,56750,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00255,,YggS family pyridoxal phosphate-dependent enzyme,+,56805,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00260,typA,translational GTPase TypA,+,57692,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00265,,GrxA family glutaredoxin,+,59698,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00270,rph,ribonuclease PH,-,60743,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00275,,YicC/YloC family endoribonuclease,+,60947,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS00280,ygfZ,CAF17-like 4Fe-4S cluster assembly/insertion protein YgfZ,+,61819,0,,FALSE,FALSE,FALSE,
