reference_locus,gene,annotation,strand,gene_start,gene_end,operonmapper_id,product,operon_id,operon_size,operon_position,operon_role,operon_status,first_gene_in_operon,internal_polycistronic,operon_left,operon_right,operon_first_orf,operon_last_orf,operon_members_ordered,previous_orf,next_orf,orf_left,orf_right,mapping_method,mapping_overlap,mapping_review_flag
MIDG2331_RS00110,ftsA,cell division protein FtsA,+,25146,26420,ftsA,Cell division protein FtsA,6,16,14,internal,Internal gene in polycistronic operon,FALSE,TRUE,9914,28624,mraZ,lpxC,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC,cds-WP_005595617.1,ftsZ,25146,26420,exact_coordinates,1,
MIDG2331_RS00360,dppF,ABC transporter ATP-binding protein,+,80285,81274,cds-WP_012262684.1,Dipeptide transport ATP-binding protein DppF,34,6,6,last,Last gene in polycistronic operon,FALSE,TRUE,73811,81274,cds-WP_005595694.1,cds-WP_012262684.1,cds-WP_005595694.1;cds-WP_039708899.1;cds-WP_039708900.1;cds-WP_005595697.1;dppD;cds-WP_012262684.1,dppD,,80285,81274,exact_coordinates,1,
MIDG2331_RS00380,ilvE,branched-chain amino acid aminotransferase,-,82953,83990,cds-WP_005603248.1,Branched-chain-amino-acid aminotransferase,36,3,1,first,First gene in polycistronic operon,TRUE,FALSE,81835,83990,cds-WP_005603248.1,cds-WP_012262685.1,cds-WP_005603248.1;cds-WP_005595710.1;cds-WP_012262685.1,,cds-WP_005595710.1,82953,83990,exact_coordinates,1,
MIDG2331_RS00390,recR,recombination mediator RecR,-,84536,85141,recR,Recombination protein RecR,38,2,2,last,Last gene in polycistronic operon,FALSE,TRUE,84536,85541,cds-WP_005600053.1,recR,cds-WP_005600053.1;recR,cds-WP_005600053.1,,84536,85141,exact_coordinates,1,
MIDG2331_RS00505,ilvD,dihydroxy-acid dehydratase,-,100919,102754,ilvD,Dihydroxy-acid dehydratase,49,3,3,last,Last gene in polycistronic operon,FALSE,TRUE,100919,104763,ilvG,ilvD,ilvG;ilvM;ilvD,ilvM,,100919,102754,exact_coordinates,1,
MIDG2331_RS00515,ilvG,acetolactate synthase 2 catalytic subunit,-,103111,104763,ilvG,Acetolactate synthase isozyme 2 large subunit,49,3,1,first,First gene in polycistronic operon,TRUE,FALSE,100919,104763,ilvG,ilvD,ilvG;ilvM;ilvD,,ilvM,103111,104763,exact_coordinates,1,
MIDG2331_RS00615,proQ,RNA chaperone ProQ,+,138579,139127,proQ,RNA chaperone ProQ,64,2,1,first,First gene in polycistronic operon,TRUE,FALSE,138579,141231,proQ,prc,proQ;prc,,prc,138579,139127,exact_coordinates,1,
MIDG2331_RS00670,rsgA,small ribosomal subunit biogenesis GTPase RsgA,-,148122,149156,rsgA,Putative ribosome biogenesis GTPase RsgA,67,4,1,first,First gene in polycistronic operon,TRUE,FALSE,145828,149156,rsgA,cds-WP_005595823.1,rsgA;rnhB;cds-WP_005620059.1;cds-WP_005595823.1,,rnhB,148122,149156,exact_coordinates,1,
MIDG2331_RS00675,gcvA,transcriptional regulator GcvA,+,149666,150556,cds-WP_005606844.1,Glycine cleavage system transcriptional activator homolog,68,4,1,first,First gene in polycistronic operon,TRUE,FALSE,149666,152864,cds-WP_005606844.1,cds-WP_005600150.1,cds-WP_005606844.1;yjjG;cysB;cds-WP_005600150.1,,yjjG,149666,150556,exact_coordinates,1,
MIDG2331_RS00685,cysB,HTH-type transcriptional regulator CysB,+,151236,152219,cysB,HTH-type transcriptional regulator CysB,68,4,3,internal,Internal gene in polycistronic operon,FALSE,TRUE,149666,152864,cds-WP_005606844.1,cds-WP_005600150.1,cds-WP_005606844.1;yjjG;cysB;cds-WP_005600150.1,yjjG,cds-WP_005600150.1,151236,152219,exact_coordinates,1,
