operon_id,operonmapper_id,feature_type,COG,pos_left,pos_right,strand,function_text,operon_member_left,operon_member_right,operon_size,operon_position,operon_role,previous_orf,next_orf,operon_first_orf,operon_last_orf,operon_left,operon_right,operon_members_ordered
1,dnaA,CDS,COG0593,192,1547,+,[L] ATPase involved in DNA replication initiation,192,1547,3,1,first,,dnaN,dnaA,recF,192,4083,dnaA;dnaN;recF
1,dnaN,CDS,COG0592,1564,2667,+,[L] DNA polymerase sliding clamp subunit (PCNA,1564,2667,3,2,internal,dnaA,recF,dnaA,recF,192,4083,dnaA;dnaN;recF
1,recF,CDS,COG1195,3001,4083,+,[L] Recombinational DNA repair ATPase (RecF pathway),3001,4083,3,3,last,dnaN,,dnaA,recF,192,4083,dnaA;dnaN;recF
2,sodC,CDS,COG2032,4139,4711,-,[P] Cu/Zn superoxide dismutase   ,4139,4711,1,1,single,,,sodC,sodC,4139,4711,sodC
3,asd,CDS,COG0136,4894,6006,+,[E] Aspartate-semialdehyde dehydrogenase    ,4894,6006,1,1,single,,,asd,asd,4894,6006,asd
4,cds-WP_039769592.1,CDS,COG3203,6133,7263,-,[M] Outer membrane protein (porin)  ,6133,7263,1,1,single,,,cds-WP_039769592.1,cds-WP_039769592.1,6133,7263,cds-WP_039769592.1
5,lpxB,CDS,COG0763,7412,8593,+,[M] Lipid A disaccharide synthetase  ,7412,8593,2,1,first,,sohB,lpxB,sohB,7412,9678,lpxB;sohB
5,sohB,CDS,COG0616,8623,9678,+,[OU] Periplasmic serine proteases (ClpP class) ,8623,9678,2,2,last,lpxB,,lpxB,sohB,7412,9678,lpxB;sohB
6,mraZ,CDS,COG2001,9914,10372,+,[S] Uncharacterized protein conserved in bacteria ,9914,10372,16,1,first,,rsmH,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
6,rsmH,CDS,COG0275,10398,11339,+,[M] Predicted S-adenosylmethionine-dependent methyltransferase involved in cell,10398,11339,16,2,internal,mraZ,ftsL,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
6,ftsL,CDS,COG3116,11352,11666,+,[D] Cell division protein   ,11352,11666,16,3,internal,rsmH,cds-WP_039709470.1,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
6,cds-WP_039709470.1,CDS,COG0768,11670,13730,+,[M] Cell division protein FtsI/penicillin-binding protein 2,11670,13730,16,4,internal,ftsL,murE,mraZ,lpxC,9914,28624,mraZ;rsmH;ftsL;cds-WP_039709470.1;murE;murF;mraY;murD;ftsW;murG;murC;cds-WP_039709473.1;cds-WP_005595617.1;ftsA;ftsZ;lpxC
